,subID,score,source,target,Identity,Condition
30,3042,0.5,Exp3a_other,Exp3a_other,Other,Explicit
31,3043,0.5,Exp3a_other,Exp3a_other,Other,Explicit
32,3044,0.5,Exp3a_other,Exp3a_other,Other,Explicit
33,3045,0.5,Exp3a_other,Exp3a_other,Other,Explicit
34,3046,0.5,Exp3a_other,Exp3a_other,Other,Explicit
0,3010,0.5,Exp3a_self,Exp3a_self,Self,Explicit
1,3011,0.5,Exp3a_self,Exp3a_self,Self,Explicit
2,3012,0.5,Exp3a_self,Exp3a_self,Self,Explicit
3,3013,0.5,Exp3a_self,Exp3a_self,Self,Explicit
4,3014,0.5,Exp3a_self,Exp3a_self,Self,Explicit
5,3015,0.5,Exp3a_self,Exp3a_self,Self,Explicit
6,3016,0.5,Exp3a_self,Exp3a_self,Self,Explicit
7,3017,0.5,Exp3a_self,Exp3a_self,Self,Explicit
8,3018,0.5,Exp3a_self,Exp3a_self,Self,Explicit
9,3019,0.5,Exp3a_self,Exp3a_self,Self,Explicit
10,3020,0.5,Exp3a_self,Exp3a_self,Self,Explicit
11,3021,0.5,Exp3a_self,Exp3a_self,Self,Explicit
12,3022,0.5,Exp3a_self,Exp3a_self,Self,Explicit
13,3023,0.5,Exp3a_self,Exp3a_self,Self,Explicit
14,3024,0.5,Exp3a_self,Exp3a_self,Self,Explicit
15,3025,0.5,Exp3a_self,Exp3a_self,Self,Explicit
16,3026,0.5,Exp3a_self,Exp3a_self,Self,Explicit
17,3027,0.5,Exp3a_self,Exp3a_self,Self,Explicit
18,3028,0.5,Exp3a_self,Exp3a_self,Self,Explicit
19,3029,0.5,Exp3a_self,Exp3a_self,Self,Explicit
20,3030,0.5,Exp3a_self,Exp3a_self,Self,Explicit
21,3032,0.5,Exp3a_self,Exp3a_self,Self,Explicit
22,3033,0.5,Exp3a_self,Exp3a_self,Self,Explicit
23,3034,0.5,Exp3a_self,Exp3a_self,Self,Explicit
24,3036,0.5,Exp3a_self,Exp3a_self,Self,Explicit
25,3037,0.5,Exp3a_self,Exp3a_self,Self,Explicit
26,3038,0.5,Exp3a_self,Exp3a_self,Self,Explicit
27,3039,0.5,Exp3a_self,Exp3a_self,Self,Explicit
28,3040,0.5,Exp3a_self,Exp3a_self,Self,Explicit
29,3041,0.5,Exp3a_self,Exp3a_self,Self,Explicit
30,3042,0.5,Exp3a_self,Exp3a_self,Self,Explicit
31,3043,0.5,Exp3a_self,Exp3a_self,Self,Explicit
32,3044,0.5,Exp3a_self,Exp3a_self,Self,Explicit
33,3045,0.5,Exp3a_self,Exp3a_self,Self,Explicit
34,3046,0.5,Exp3a_self,Exp3a_self,Self,Explicit
0,31001,0.5,Exp3b_other,Exp3b_other,Other,Explicit
1,31002,0.5,Exp3b_other,Exp3b_other,Other,Explicit
2,31005,0.5,Exp3b_other,Exp3b_other,Other,Explicit
3,31007,0.5,Exp3b_other,Exp3b_other,Other,Explicit
4,31008,0.5,Exp3b_other,Exp3b_other,Other,Explicit
5,31009,0.5,Exp3b_other,Exp3b_other,Other,Explicit
6,31010,0.5,Exp3b_other,Exp3b_other,Other,Explicit
7,31011,0.5,Exp3b_other,Exp3b_other,Other,Explicit
8,31012,0.5,Exp3b_other,Exp3b_other,Other,Explicit
9,31013,0.5,Exp3b_other,Exp3b_other,Other,Explicit
10,31014,0.5,Exp3b_other,Exp3b_other,Other,Explicit
11,31015,0.5,Exp3b_other,Exp3b_other,Other,Explicit
12,31016,0.5,Exp3b_other,Exp3b_other,Other,Explicit
13,31017,0.5,Exp3b_other,Exp3b_other,Other,Explicit
14,31018,0.5,Exp3b_other,Exp3b_other,Other,Explicit
15,31019,0.5,Exp3b_other,Exp3b_other,Other,Explicit
16,31020,0.5,Exp3b_other,Exp3b_other,Other,Explicit
17,31021,0.5,Exp3b_other,Exp3b_other,Other,Explicit
18,31022,0.5,Exp3b_other,Exp3b_other,Other,Explicit
19,31023,0.5,Exp3b_other,Exp3b_other,Other,Explicit
20,31025,0.5,Exp3b_other,Exp3b_other,Other,Explicit
21,31026,0.5,Exp3b_other,Exp3b_other,Other,Explicit
22,31027,0.5,Exp3b_other,Exp3b_other,Other,Explicit
23,31029,0.5,Exp3b_other,Exp3b_other,Other,Explicit
24,31032,0.5,Exp3b_other,Exp3b_other,Other,Explicit
25,31033,0.5,Exp3b_other,Exp3b_other,Other,Explicit
26,31034,0.5,Exp3b_other,Exp3b_other,Other,Explicit
27,31035,0.5,Exp3b_other,Exp3b_other,Other,Explicit
28,31036,0.5,Exp3b_other,Exp3b_other,Other,Explicit
29,31037,0.5,Exp3b_other,Exp3b_other,Other,Explicit
30,31038,0.5,Exp3b_other,Exp3b_other,Other,Explicit
31,31039,0.5,Exp3b_other,Exp3b_other,Other,Explicit
32,31040,0.5,Exp3b_other,Exp3b_other,Other,Explicit
33,31041,0.5,Exp3b_other,Exp3b_other,Other,Explicit
34,31042,0.5,Exp3b_other,Exp3b_other,Other,Explicit
35,31043,0.5,Exp3b_other,Exp3b_other,Other,Explicit
36,31044,0.5,Exp3b_other,Exp3b_other,Other,Explicit
