,subID,score,source,target,source_Identity,target_Identity,source_ref,target_ref
30,5234,0.5444648570725361,Exp5_Emotion,Exp5_Emotion,None,None,None,None
31,5235,0.4939930705308881,Exp5_Emotion,Exp5_Emotion,None,None,None,None
32,5236,0.5254446976647823,Exp5_Emotion,Exp5_Emotion,None,None,None,None
33,5237,0.5768723702777107,Exp5_Emotion,Exp5_Emotion,None,None,None,None
34,5238,0.5894500877694558,Exp5_Emotion,Exp5_Emotion,None,None,None,None
35,5239,0.5448162912305787,Exp5_Emotion,Exp5_Emotion,None,None,None,None
36,5240,0.5479861111111112,Exp5_Emotion,Exp5_Emotion,None,None,None,None
37,5242,0.5564606620344397,Exp5_Emotion,Exp5_Emotion,None,None,None,None
0,5201,0.5558962497428349,Exp5_Person,Exp5_Person,None,None,None,None
1,5202,0.5853389046220611,Exp5_Person,Exp5_Person,None,None,None,None
2,5203,0.5132529623750869,Exp5_Person,Exp5_Person,None,None,None,None
3,5204,0.5968151966669021,Exp5_Person,Exp5_Person,None,None,None,None
4,5205,0.6631150740173869,Exp5_Person,Exp5_Person,None,None,None,None
5,5206,0.5455894472499719,Exp5_Person,Exp5_Person,None,None,None,None
6,5207,0.6112304370413663,Exp5_Person,Exp5_Person,None,None,None,None
7,5208,0.6075531309159965,Exp5_Person,Exp5_Person,None,None,None,None
8,5209,0.5328613338856939,Exp5_Person,Exp5_Person,None,None,None,None
9,5210,0.5046766722136183,Exp5_Person,Exp5_Person,None,None,None,None
10,5211,0.5527443264614075,Exp5_Person,Exp5_Person,None,None,None,None
11,5212,0.5282942954029589,Exp5_Person,Exp5_Person,None,None,None,None
12,5213,0.5553519797312957,Exp5_Person,Exp5_Person,None,None,None,None
13,5215,0.5456972983266793,Exp5_Person,Exp5_Person,None,None,None,None
14,5216,0.5662615740740741,Exp5_Person,Exp5_Person,None,None,None,None
15,5217,0.5086228454306227,Exp5_Person,Exp5_Person,None,None,None,None
16,5218,0.530319352676434,Exp5_Person,Exp5_Person,None,None,None,None
17,5219,0.5929721675335711,Exp5_Person,Exp5_Person,None,None,None,None
18,5220,0.5337237188503011,Exp5_Person,Exp5_Person,None,None,None,None
19,5221,0.5129434676655285,Exp5_Person,Exp5_Person,None,None,None,None
20,5222,0.5475479000989583,Exp5_Person,Exp5_Person,None,None,None,None
21,5223,0.5412548983087367,Exp5_Person,Exp5_Person,None,None,None,None
22,5225,0.5223372443111209,Exp5_Person,Exp5_Person,None,None,None,None
23,5226,0.6200549959282843,Exp5_Person,Exp5_Person,None,None,None,None
24,5227,0.48120787014800476,Exp5_Person,Exp5_Person,None,None,None,None
