Subject,Age,Handedness,Sex,BlockList.Sample,SubTrial,Label,Target,Shape,YesNoResp,Target.CRESP,Target.RESP,Target.ACC,Target.RT
1147,18,right,female,,4,善人,T.bmp,Good,Yes,n,,0,0
1147,18,right,female,,5,恶人,T.bmp,Good,No,m,m,1,886
1147,18,right,female,,6,常人,T.bmp,Good,No,m,m,1,562
1147,18,right,female,,7,善人,T.bmp,Good,Yes,n,,0,0
1147,18,right,female,,8,恶人,S.bmp,Normal,No,m,n,0,1044
1147,18,right,female,,9,恶人,C.bmp,Bad,Yes,n,,0,0
1147,18,right,female,,10,恶人,C.bmp,Bad,Yes,n,m,0,981
1147,18,right,female,,11,善人,S.bmp,Normal,No,m,,0,0
1147,18,right,female,,12,善人,C.bmp,Bad,No,m,,0,0
1147,18,right,female,,13,善人,C.bmp,Bad,No,m,n,0,1006
1147,18,right,female,,14,常人,S.bmp,Normal,Yes,n,m,0,993
1147,18,right,female,,15,常人,T.bmp,Good,No,m,n,0,825
1147,18,right,female,,16,常人,C.bmp,Bad,No,m,,0,0
1147,18,right,female,,17,善人,T.bmp,Good,Yes,n,,0,0
1147,18,right,female,,18,恶人,S.bmp,Normal,No,m,m,1,945
1147,18,right,female,,19,恶人,C.bmp,Bad,Yes,n,m,0,855
1147,18,right,female,,20,善人,S.bmp,Normal,No,m,,0,0
1147,18,right,female,,21,常人,S.bmp,Normal,Yes,n,,0,0
1147,18,right,female,,22,善人,T.bmp,Good,Yes,n,n,1,897
1147,18,right,female,,23,恶人,C.bmp,Bad,Yes,n,n,1,1001
1147,18,right,female,,24,恶人,T.bmp,Good,No,m,n,0,521
1147,18,right,female,,25,恶人,S.bmp,Normal,No,m,n,0,817
1147,18,right,female,,26,恶人,C.bmp,Bad,Yes,n,,0,0
1147,18,right,female,,27,常人,T.bmp,Good,No,m,m,1,755
1147,18,right,female,,28,常人,C.bmp,Bad,No,m,n,0,509
1147,18,right,female,,29,善人,S.bmp,Normal,No,m,n,0,1082
1147,18,right,female,,30,常人,S.bmp,Normal,Yes,n,n,1,953
1147,18,right,female,,31,恶人,T.bmp,Good,No,m,,0,0
1147,18,right,female,,32,善人,T.bmp,Good,Yes,n,,0,0
1147,18,right,female,,33,善人,T.bmp,Good,Yes,n,,0,0
1147,18,right,female,,34,恶人,C.bmp,Bad,Yes,n,n,1,709
1147,18,right,female,,35,善人,C.bmp,Bad,No,m,n,0,736
1147,18,right,female,,36,常人,S.bmp,Normal,Yes,n,,0,0
1147,18,right,female,,37,恶人,C.bmp,Bad,Yes,n,n,1,862
1147,18,right,female,,38,常人,T.bmp,Good,No,m,n,0,616
1147,18,right,female,,39,恶人,S.bmp,Normal,No,m,n,0,1034
1147,18,right,female,,40,恶人,T.bmp,Good,No,m,n,0,632
1147,18,right,female,,41,常人,S.bmp,Normal,Yes,n,m,0,854
1147,18,right,female,,42,恶人,C.bmp,Bad,Yes,n,n,1,686
1147,18,right,female,,43,善人,C.bmp,Bad,No,m,n,0,479
1147,18,right,female,,44,善人,T.bmp,Good,Yes,n,n,1,622
1147,18,right,female,,45,善人,T.bmp,Good,Yes,n,n,1,571
1147,18,right,female,,46,常人,S.bmp,Normal,Yes,n,n,1,481
1147,18,right,female,,47,善人,S.bmp,Normal,No,m,n,0,430
1147,18,right,female,,48,常人,C.bmp,Bad,No,m,n,0,418
1147,18,right,female,,49,善人,T.bmp,Good,Yes,n,n,1,851
1147,18,right,female,,50,恶人,C.bmp,Bad,Yes,n,n,1,529
1147,18,right,female,,51,善人,T.bmp,Good,Yes,n,n,1,751
1147,18,right,female,,52,常人,S.bmp,Normal,Yes,n,n,1,583
1147,18,right,female,,53,恶人,S.bmp,Normal,No,m,m,1,921
1147,18,right,female,,54,常人,C.bmp,Bad,No,m,n,0,441
1147,18,right,female,,55,善人,C.bmp,Bad,No,m,n,0,517
1147,18,right,female,,56,恶人,C.bmp,Bad,Yes,n,n,1,466
1147,18,right,female,,57,常人,T.bmp,Good,No,m,n,0,415
1147,18,right,female,,58,善人,S.bmp,Normal,No,m,n,0,521
1147,18,right,female,,59,常人,S.bmp,Normal,Yes,n,n,1,558
1147,18,right,female,,60,恶人,T.bmp,Good,No,m,m,1,1013
1147,18,right,female,1,1,善人,T.bmp,Good,Yes,n,n,1,493
1147,18,right,female,1,2,恶人,C.bmp,Bad,Yes,n,n,1,560
1147,18,right,female,1,3,善人,S.bmp,Normal,No,m,n,0,743
1147,18,right,female,1,4,常人,S.bmp,Normal,Yes,n,m,0,888
1147,18,right,female,1,5,常人,T.bmp,Good,No,m,n,0,408
1147,18,right,female,1,6,恶人,T.bmp,Good,No,m,n,0,786
1147,18,right,female,1,7,恶人,S.bmp,Normal,No,m,m,1,1057
1147,18,right,female,1,8,常人,C.bmp,Bad,No,m,n,0,928
1147,18,right,female,1,9,善人,T.bmp,Good,Yes,n,n,1,615
1147,18,right,female,1,10,常人,S.bmp,Normal,Yes,n,,0,0
1147,18,right,female,1,11,善人,C.bmp,Bad,No,m,,0,0
1147,18,right,female,1,12,恶人,C.bmp,Bad,Yes,n,n,1,472
1147,18,right,female,1,13,常人,T.bmp,Good,No,m,m,1,655
1147,18,right,female,1,14,善人,T.bmp,Good,Yes,n,n,1,525
1147,18,right,female,1,15,恶人,C.bmp,Bad,Yes,n,m,0,591
1147,18,right,female,1,16,恶人,S.bmp,Normal,No,m,m,1,735
1147,18,right,female,1,17,善人,T.bmp,Good,Yes,n,n,1,606
1147,18,right,female,1,18,常人,C.bmp,Bad,No,m,m,1,1022
1147,18,right,female,1,19,善人,S.bmp,Normal,No,m,n,0,815
1147,18,right,female,1,20,恶人,T.bmp,Good,No,m,n,0,686
1147,18,right,female,1,21,常人,S.bmp,Normal,Yes,n,,0,0
1147,18,right,female,1,22,善人,C.bmp,Bad,No,m,,0,0
1147,18,right,female,1,23,恶人,C.bmp,Bad,Yes,n,n,1,492
1147,18,right,female,1,24,常人,S.bmp,Normal,Yes,n,n,1,570
1147,18,right,female,1,25,常人,T.bmp,Good,No,m,m,1,753
1147,18,right,female,1,26,善人,T.bmp,Good,Yes,n,m,0,701
1147,18,right,female,1,27,恶人,S.bmp,Normal,No,m,n,0,689
1147,18,right,female,1,28,常人,S.bmp,Normal,Yes,n,n,1,716
1147,18,right,female,1,29,常人,S.bmp,Normal,Yes,n,n,1,703
1147,18,right,female,1,30,恶人,C.bmp,Bad,Yes,n,n,1,535
1147,18,right,female,1,31,善人,T.bmp,Good,Yes,n,n,1,601
1147,18,right,female,1,32,恶人,T.bmp,Good,No,m,m,1,510
1147,18,right,female,1,33,善人,S.bmp,Normal,No,m,n,0,381
1147,18,right,female,1,34,善人,C.bmp,Bad,No,m,m,1,407
1147,18,right,female,1,35,常人,C.bmp,Bad,No,m,m,1,356
1147,18,right,female,1,36,恶人,C.bmp,Bad,Yes,n,n,1,461
1147,18,right,female,1,37,善人,T.bmp,Good,Yes,n,n,1,487
1147,18,right,female,1,38,常人,C.bmp,Bad,No,m,n,0,436
1147,18,right,female,1,39,恶人,T.bmp,Good,No,m,m,1,384
1147,18,right,female,1,40,善人,S.bmp,Normal,No,m,m,1,421
1147,18,right,female,1,41,常人,S.bmp,Normal,Yes,n,n,1,526
1147,18,right,female,1,42,恶人,C.bmp,Bad,Yes,n,n,1,358
1147,18,right,female,1,43,善人,T.bmp,Good,Yes,n,n,1,395
1147,18,right,female,1,44,常人,T.bmp,Good,No,m,m,1,383
1147,18,right,female,1,45,常人,S.bmp,Normal,Yes,n,n,1,371
1147,18,right,female,1,46,恶人,C.bmp,Bad,Yes,n,n,1,320
1147,18,right,female,1,47,恶人,S.bmp,Normal,No,m,n,0,386
1147,18,right,female,1,48,善人,C.bmp,Bad,No,m,n,0,608
1147,18,right,female,1,49,恶人,C.bmp,Bad,Yes,n,n,1,557
1147,18,right,female,1,50,常人,S.bmp,Normal,Yes,n,m,0,349
1147,18,right,female,1,51,恶人,T.bmp,Good,No,m,m,1,883
1147,18,right,female,1,52,常人,T.bmp,Good,No,m,n,0,481
1147,18,right,female,1,53,常人,C.bmp,Bad,No,m,n,0,468
1147,18,right,female,1,54,恶人,S.bmp,Normal,No,m,n,0,456
1147,18,right,female,1,55,善人,C.bmp,Bad,No,m,,0,0
1147,18,right,female,1,56,恶人,C.bmp,Bad,Yes,n,,0,0
1147,18,right,female,1,57,常人,S.bmp,Normal,Yes,n,m,0,770
1147,18,right,female,1,58,善人,T.bmp,Good,Yes,n,n,1,641
1147,18,right,female,1,59,善人,S.bmp,Normal,No,m,n,0,395
1147,18,right,female,1,60,善人,T.bmp,Good,Yes,n,n,1,461
1147,18,right,female,2,1,常人,T.bmp,Good,No,m,n,0,691
1147,18,right,female,2,2,善人,T.bmp,Good,Yes,n,n,1,406
1147,18,right,female,2,3,善人,S.bmp,Normal,No,m,m,1,824
1147,18,right,female,2,4,恶人,T.bmp,Good,No,m,n,0,500
1147,18,right,female,2,5,善人,T.bmp,Good,Yes,n,n,1,577
1147,18,right,female,2,6,恶人,C.bmp,Bad,Yes,n,m,0,731
1147,18,right,female,2,7,常人,S.bmp,Normal,Yes,n,m,0,613
1147,18,right,female,2,8,恶人,C.bmp,Bad,Yes,n,m,0,757
1147,18,right,female,2,9,善人,C.bmp,Bad,No,m,m,1,511
1147,18,right,female,2,10,常人,C.bmp,Bad,No,m,,0,0
1147,18,right,female,2,11,恶人,S.bmp,Normal,No,m,n,0,380
1147,18,right,female,2,12,常人,S.bmp,Normal,Yes,n,n,1,485
1147,18,right,female,2,13,恶人,T.bmp,Good,No,m,m,1,512
1147,18,right,female,2,14,常人,C.bmp,Bad,No,m,m,1,656
1147,18,right,female,2,15,恶人,S.bmp,Normal,No,m,m,1,839
1147,18,right,female,2,16,善人,S.bmp,Normal,No,m,m,1,515
1147,18,right,female,2,17,善人,T.bmp,Good,Yes,n,n,1,464
1147,18,right,female,2,18,常人,S.bmp,Normal,Yes,n,m,0,374
1147,18,right,female,2,19,恶人,C.bmp,Bad,Yes,n,m,0,596
1147,18,right,female,2,20,善人,C.bmp,Bad,No,m,,0,0
1147,18,right,female,2,21,恶人,C.bmp,Bad,Yes,n,m,0,611
1147,18,right,female,2,22,常人,T.bmp,Good,No,m,n,0,844
1147,18,right,female,2,23,善人,T.bmp,Good,Yes,n,n,1,414
1147,18,right,female,2,24,常人,S.bmp,Normal,Yes,n,n,1,753
1147,18,right,female,2,25,善人,S.bmp,Normal,No,m,n,0,508
1147,18,right,female,2,26,善人,T.bmp,Good,Yes,n,n,1,418
1147,18,right,female,2,27,善人,T.bmp,Good,Yes,n,m,0,417
1147,18,right,female,2,28,常人,T.bmp,Good,No,m,n,0,990
1147,18,right,female,2,29,常人,S.bmp,Normal,Yes,n,n,1,940
1147,18,right,female,2,30,常人,C.bmp,Bad,No,m,n,0,694
1147,18,right,female,2,31,恶人,C.bmp,Bad,Yes,n,n,1,917
1147,18,right,female,2,32,常人,S.bmp,Normal,Yes,n,m,0,632
1147,18,right,female,2,33,恶人,C.bmp,Bad,Yes,n,,0,0
1147,18,right,female,2,34,恶人,S.bmp,Normal,No,m,,0,0
1147,18,right,female,2,35,恶人,T.bmp,Good,No,m,,0,0
1147,18,right,female,2,36,善人,C.bmp,Bad,No,m,n,0,781
1147,18,right,female,2,37,善人,T.bmp,Good,Yes,n,m,0,391
1147,18,right,female,2,38,常人,S.bmp,Normal,Yes,n,m,0,418
1147,18,right,female,2,39,恶人,C.bmp,Bad,Yes,n,m,0,602
1147,18,right,female,2,40,恶人,C.bmp,Bad,Yes,n,n,1,758
1147,18,right,female,2,41,常人,T.bmp,Good,No,m,n,0,785
1147,18,right,female,2,42,恶人,T.bmp,Good,No,m,m,1,735
1147,18,right,female,2,43,恶人,S.bmp,Normal,No,m,m,1,774
1147,18,right,female,2,44,善人,C.bmp,Bad,No,m,m,1,489
1147,18,right,female,2,45,常人,C.bmp,Bad,No,m,m,1,361
1147,18,right,female,2,46,善人,T.bmp,Good,Yes,n,n,1,662
1147,18,right,female,2,47,善人,S.bmp,Normal,No,m,m,1,379
1147,18,right,female,2,48,常人,S.bmp,Normal,Yes,n,n,1,524
1147,18,right,female,2,49,常人,C.bmp,Bad,No,m,n,0,318
1147,18,right,female,2,50,常人,T.bmp,Good,No,m,n,0,697
1147,18,right,female,2,51,善人,C.bmp,Bad,No,m,n,0,608
1147,18,right,female,2,52,恶人,C.bmp,Bad,Yes,n,n,1,870
1147,18,right,female,2,53,善人,S.bmp,Normal,No,m,m,1,469
1147,18,right,female,2,54,常人,S.bmp,Normal,Yes,n,n,1,419
1147,18,right,female,2,55,善人,T.bmp,Good,Yes,n,n,1,759
1147,18,right,female,2,56,常人,S.bmp,Normal,Yes,n,n,1,475
1147,18,right,female,2,57,善人,T.bmp,Good,Yes,n,n,1,542
1147,18,right,female,2,58,恶人,S.bmp,Normal,No,m,n,0,414
1147,18,right,female,2,59,恶人,T.bmp,Good,No,m,m,1,910
1147,18,right,female,2,60,恶人,C.bmp,Bad,Yes,n,m,0,431
1147,18,right,female,3,1,善人,T.bmp,Good,Yes,n,n,1,493
1147,18,right,female,3,2,恶人,C.bmp,Bad,Yes,n,n,1,571
1147,18,right,female,3,3,善人,C.bmp,Bad,No,m,n,0,482
1147,18,right,female,3,4,恶人,C.bmp,Bad,Yes,n,n,1,549
1147,18,right,female,3,5,常人,T.bmp,Good,No,m,n,0,773
1147,18,right,female,3,6,常人,C.bmp,Bad,No,m,n,0,762
1147,18,right,female,3,7,常人,S.bmp,Normal,Yes,n,n,1,908
1147,18,right,female,3,8,善人,S.bmp,Normal,No,m,n,0,585
1147,18,right,female,3,9,恶人,T.bmp,Good,No,m,n,0,770
1147,18,right,female,3,10,善人,T.bmp,Good,Yes,n,n,1,916
1147,18,right,female,3,11,恶人,S.bmp,Normal,No,m,m,1,634
1147,18,right,female,3,12,常人,S.bmp,Normal,Yes,n,m,0,468
1147,18,right,female,3,13,恶人,S.bmp,Normal,No,m,m,1,1005
1147,18,right,female,3,14,善人,T.bmp,Good,Yes,n,n,1,527
1147,18,right,female,3,15,善人,S.bmp,Normal,No,m,m,1,518
1147,18,right,female,3,16,常人,T.bmp,Good,No,m,n,0,783
1147,18,right,female,3,17,常人,S.bmp,Normal,Yes,n,,0,0
1147,18,right,female,3,18,常人,S.bmp,Normal,Yes,n,,0,0
1147,18,right,female,3,19,善人,T.bmp,Good,Yes,n,m,0,651
1147,18,right,female,3,20,恶人,T.bmp,Good,No,m,,0,0
1147,18,right,female,3,21,常人,C.bmp,Bad,No,m,n,0,556
1147,18,right,female,3,22,恶人,C.bmp,Bad,Yes,n,m,0,900
1147,18,right,female,3,23,善人,C.bmp,Bad,No,m,m,1,579
1147,18,right,female,3,24,恶人,C.bmp,Bad,Yes,n,m,0,1040
1147,18,right,female,3,25,恶人,T.bmp,Good,No,m,m,1,758
1147,18,right,female,3,26,恶人,C.bmp,Bad,Yes,n,m,0,605
1147,18,right,female,3,27,常人,S.bmp,Normal,Yes,n,,0,0
1147,18,right,female,3,28,恶人,S.bmp,Normal,No,m,n,0,668
1147,18,right,female,3,29,善人,T.bmp,Good,Yes,n,n,1,622
1147,18,right,female,3,30,善人,C.bmp,Bad,No,m,,0,0
1147,18,right,female,3,31,常人,C.bmp,Bad,No,m,n,0,825
1147,18,right,female,3,32,善人,T.bmp,Good,Yes,n,n,1,467
1147,18,right,female,3,33,常人,S.bmp,Normal,Yes,n,,0,0
1147,18,right,female,3,34,常人,T.bmp,Good,No,m,,0,0
1147,18,right,female,3,35,善人,S.bmp,Normal,No,m,n,0,767
1147,18,right,female,3,36,恶人,C.bmp,Bad,Yes,n,n,1,451
1147,18,right,female,3,37,恶人,C.bmp,Bad,Yes,n,m,0,882
1147,18,right,female,3,38,恶人,C.bmp,Bad,Yes,n,n,1,683
1147,18,right,female,3,39,恶人,S.bmp,Normal,No,m,n,0,367
1147,18,right,female,3,40,恶人,T.bmp,Good,No,m,n,0,600
1147,18,right,female,3,41,善人,T.bmp,Good,Yes,n,,0,0
1147,18,right,female,3,42,常人,S.bmp,Normal,Yes,n,,0,0
1147,18,right,female,3,43,常人,S.bmp,Normal,Yes,n,,0,0
1147,18,right,female,3,44,善人,T.bmp,Good,Yes,n,,0,0
1147,18,right,female,3,45,常人,T.bmp,Good,No,m,n,0,294
1147,18,right,female,3,46,常人,C.bmp,Bad,No,m,n,0,560
1147,18,right,female,3,47,善人,C.bmp,Bad,No,m,,0,0
